organization_name,organization_uuid,location_name,location_uuid,location_address,location_url,phones
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Abriendo Puertas/Casey,5bd38bd0-6270-4bbb-9276-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Baker County Jail,5bd38bd2-bd3c-4cd7-b1d3-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Bay Point,5bd38bd0-e7f4-4213-8669-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Boystown/Children's Village,5bd38bd8-2928-4745-90c3-0f1ed0502002,"9525 Sterling Drive, Cutler Bay, FL 33157",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Broward Lucha Office,5bd38bd0-f610-44c5-b439-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Broward Transitional Center,5bd38bd1-09ec-46a2-9215-0f1ed0502002,,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Camillus House,5bd38bd3-ce0c-40d7-a68a-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Catholic Charities - Immokalee,5bd38bd8-d1a4-46c8-a06f-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Children's Home Society,5bd38bd6-d608-4d89-a669-0f1ed0502002,"401 NE 4th Street, Fort Lauderdale, FL 33301",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Coordinated Victims Assistance Center,5bd38bd5-b2bc-4883-869d-0f1ed0502002,"2400 S. Dixie Highway, Suite #104, Miami, FL 33133",,main: 305-285-5922
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,County Jails,5bd38bd1-526c-45d5-abd2-0f1ed0502002,,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Default Office (for testing),5bd38bcf-6630-4280-9199-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,FLIC Office Intake,5bd38bda-605c-4837-85d1-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Florida Equal Justice Center,5bd38bd6-0540-495e-8548-0f1ed0502002,"Fort Pierce, FL",,main: 772-489-4660
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Florida International University -FIU,5bd38bd9-34bc-44f1-9cd8-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Fort Pierce Office (from Imm Aide),5bd38bd0-c5ac-4212-9cce-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Ft. Pierce,5bd38bd4-3bb8-4f45-8929-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Galata,5bd38bd4-c024-4e25-9cd0-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Glades County Jail,5bd38bd1-d5bc-4477-989c-0f1ed0502002,,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Guatemala Mayan Center - Lake Worth,5bd38bd8-82b8-479a-a359-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Guatemala Mayan Center - WPB/Lake Worth,5bd38bd8-c2e8-47c4-a24f-0f1ed0502002,"430 North G Street, Lake Worth, FL 33460",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,His House,5bd38bd9-12b4-4719-9d70-0f1ed0502002,"20000 NW 47th Avenue, Hector Building #2, Miami Gardens, FL 33055",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Homeless Assistance Center,5bd38bd3-7de8-41e6-b4a7-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Homeless Assistance Center - South,5bd38bd3-9790-4be1-bafc-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Homestead ERC,5bd38bd9-0c00-475f-a7c0-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Homestead Office,5bd38bd5-730c-41f2-8d45-0f1ed0502002,"28905 S. Dixie Highway, Homestead, FL 33033",,main: 305-247-1057
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Immokalee,5bd38bd6-d9e4-4151-bceb-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Immokalee Office,5bd38bd7-4934-49d4-8f8b-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Juvenile Court,5bd38bd4-282c-45df-8157-0f1ed0502002,"3300 NW 27 Avenue, Miami, FL 33142",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Krome,5bd38bd6-9200-4a8e-9b3e-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Krome Office,5bd38bd2-1e48-44de-b7bb-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Lodge,5bd38bd2-86d0-4c29-9036-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Miami Immigration Court,5bd38bd7-6b30-4ce2-bb0b-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Miami Office,5bc27d13-91f0-4ce4-87e2-76cbd0502002,"6355 NW 36th Street, Suite 2201, Miami, FL 33166",,main: 305-573-1106
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Monroe County Jail,5bd38bd1-60a4-42d7-aca1-0f1ed0502002,,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Neighbor To Family,5bd38bd7-477c-4b52-ad73-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Open Arms,5bd38bd5-2f6c-43da-a19a-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Other,5bd38bd2-fc60-49eb-a501-0f1ed0502002,,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Sandy Pines RTC,5bd38bd9-79f4-4bab-af84-0f1ed0502002,"1301 SE Tequesta Terrace, Tequesta, FL 33469",,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Screening Clinic,5bd38bda-e6dc-4c69-a4dc-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,South Dade,5bd38bd3-9624-48fe-a892-0f1ed0502002,State: FL,,
