service_uuid,organization_name,organization_uuid,service_name,service_alternate_name,service_description,service_email,service_url,service_additional_information,service_min_age,service_max_age,service_program,service_income_limit,service_problem_codes,service_require_veteran,service_military_status,service_immigration_status,service_incarceration_status,service_areas,,
5bc27d12-1b1c-40b5-a798-76cbd0502002,Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Immigration,,"Free representation in immigration matters before USCIS, EOIR, and the BIA. Programs focus on representation of unaccompanied minors; victims of domestic violence, sexual assault and human trafficking; detained adults; individuals at risk of deportation and/or in removal proceedings.",info@aijustice.org,,,,,,200,Immigration,false,,"Applying for VAWA self-petition; Asylee; Conditional Entrant INA(a)(7) (PRIOR TO 4/1/80 ONLY); Domestic Violence (with Related Case); Granted Suspension of  Deportation/Withholding of Removal; Has unmarried U.S. Citizen child under 21; Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; Not Eligible; Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); Parent of US Citizen with a pending or approved adjustment of status (green card) application; Parents of a victim of trafficking (victim must be under 21); Refugee; Spouse or children of a victim of criminal activity/U Visa eligible applicant; Spouse or children of a victim of trafficking; Unmarried child under 21 of a US Citizen with a pending or approved adjustment of status (green card) application; Unmarried siblings under 18 of a victim of criminal activity (eligible for U Visa) (victim must be under 21); Unmarried siblings under 18 of a victim of trafficking (victim must be under 21); VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence); With U.S. Citizen Parent",,Broward County; Collier County; Lee County; Miami-Dade County; Monroe County; Palm Beach County,,
5b96834b-d6e8-4c41-bc9d-b2b5ac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Bay Pines VA Medical Legal Partnership Clinic,VA-MLP,Legal intake for veterans at the Bay Pines VA Hospital in Pinellas County FL.,referrals@bals.org,,,0,200,WST,125,Abuse & Neglect; Adoption; Bankruptcy; Board and Care/Assisted living facilities; Children's Health Insurance Programs; Child Support; Civil Rights; Collection/Repossession; Contracts/Warranties; Custody; Disability Rights; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Earned Income Tax Credit; Employment; Employment Discrimination; Estate Planning; Expungement; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Health Insurance; Home and Community Based Care; Homeownership; Human Trafficking; Income Taxes; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mental Health Rights; Minor; Mobile Home Issues; Mortgages; Name Change; Other; Other Civil Rights; Other Consumer; Other Education; Other Employment; Other Family; Other Health; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; State and Local Welfare; State-funded Medical Assistance Programs; Student Financial Aid; Supplemental Security Income (SSI); TANF; Termination of Parental Rights; Unemployment Compensation; Unfair and Deceptive Trade Practices; Veterans benefits; Vocational Education; Wage Claims,true,Retired Military Service; Discharged Honorable; Active Military Service,Lawful Permanent Resident (LPR); United States Citizen,,Pinellas County,,
5b4f6833-d16c-4792-808b-47d6ac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Florida Senior Legal Helpline,SLH,"Free civil legal advice, brief services, and referrals for applicants aged 60 + who live in all Florida counties.",referrals@bals.org,https://www.bals.org/our-services/help-for-seniors,Funded by the Florida Department of Elder Affairs.,60,200,SLH,300,Abuse & Neglect; Adoption; Bankruptcy; Board and Care/Assisted living facilities; Children's Health Insurance Programs; Child Support; Civil Rights; Collection/Repossession; Contracts/Warranties; Custody; Disability Rights; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Earned Income Tax Credit; Employment; Employment Discrimination; Estate Planning; Expungement; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Health Insurance; Home and Community Based Care; Homeownership; Human Trafficking; Income Taxes; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mental Health Rights; Minor; Mobile Home Issues; Mortgages; Name Change; Other; Other Civil Rights; Other Consumer; Other Employment; Other Family; Other Health; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; State and Local Welfare; State-funded Medical Assistance Programs; Student Financial Aid; Supplemental Security Income (SSI); TANF; Termination of Parental Rights; Unemployment Compensation; Unfair and Deceptive Trade Practices; Veterans benefits; Wage Claims,false,,"Applying for VAWA self-petition; Domestic Violence (with Related Case); Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; United States Citizen; VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence)",,Alachua County; Baker County; Bay County; Bradford County; Brevard County; Broward County; Calhoun County; Charlotte County; Citrus County; Clay County; Collier County; Columbia County; DeSoto County; Dixie County; Duval County; Escambia County; Flagler County; Franklin County; Gadsden County; Gilchrist County; Glades County; Gulf County; Hamilton County; Hardee County; Hendry County; Hernando County; Highlands County; Hillsborough County; Holmes County; Indian River County; Jackson County; Jefferson County; Lafayette County; Lake County; Lee County; Leon County; Levy County; Liberty County; Madison County; Manatee County; Marion County; Martin County; Miami-Dade County; Monroe County; Nassau County; Okaloosa County; Okeechobee County; Orange County; Osceola County; Palm Beach County; Pasco County; Pinellas County; Polk County; Putnam County; Santa Rosa County; Sarasota County; Seminole County; St. Johns County; St. Lucie County; Sumter County; Suwannee County; Taylor County; Union County; Volusia County; Wakulla County; Walton County; Washington County,,
5b4f6132-3e8c-4d79-9c56-f2e6ac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,General Civil Legal Assistance,,"Free legal advice, brief services, and/or representation for all civil legal issues within our program's priorities.  Does not include criminal, traffic, and most fee-generating matters.",referrals@bals.org,https://www.bals.org/get-help,Most applicants will initially receive legal advice by phone through one of our telephone intake programs.,0,200,CTI,125,Adoption; Bankruptcy; Board and Care/Assisted living facilities; Children's Health Insurance Programs; Child Support; Civil Rights; Collection/Repossession; Contracts/Warranties; Custody; Disability Rights; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Earned Income Tax Credit; Emancipation; Employment; Employment Discrimination; Estate Planning; Expungement; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Health Insurance; Home and Community Based Care; Homeownership; Human Trafficking; Income Taxes; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mental Health Rights; Minor; Mobile Home Issues; Mortgages; Name Change; Other; Other Civil Rights; Other Consumer; Other Employment; Other Family; Other Health; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; State and Local Welfare; State-funded Medical Assistance Programs; Student Financial Aid; Supplemental Security Income (SSI); TANF; Termination of Parental Rights; Unemployment Compensation; Unfair and Deceptive Trade Practices; Veterans benefits; Wage Claims,false,,"Applying for VAWA self-petition; Domestic Violence (with Related Case); Lawful Permanent Resident (LPR); Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); United States Citizen; VAWA; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim of Trafficking (under 18); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence)",,Hillsborough County; Manatee County; Pasco County; Pinellas County; Sarasota County,,
5b96861b-4990-4494-95d5-459fac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,iLawyer Clinic,iLawyer,"Walk-in clinic and scheduled appointments at partner site located at Corporation to Develop Communities of Tampa, Inc. For Hillsborough County.",referrals@bals.org,,"Corporation to Develop Communities of Tampa, Inc.    Address: 1907 E Hillsborough Ave #100, Tampa, FL 33610   Schedule: Second Tuesday of the month  Contact Information: 813-232-1343 ext. 179",0,200,ABLE,125,Abuse & Neglect; Adoption; Bankruptcy; Bilingual; Board and Care/Assisted living facilities; Children's Health Insurance Programs; Child Support; Civil Rights; Collection/Repossession; Contracts/Warranties; Custody; Disability Rights; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Earned Income Tax Credit; Emancipation; Employment; Employment Discrimination; Estate Planning; Expungement; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Health Insurance; Home and Community Based Care; Homeownership; Human Trafficking; Income Taxes; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mental Health Rights; Minor; Mobile Home Issues; Mortgages; Name Change; Nonprofit Law; Other; Other Civil Rights; Other Consumer; Other Education; Other Employment; Other Family; Other Health; Other Housing; Other Income Maintenance; Other Juveniles; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; Special Education/Learning Disabilities; State and Local Welfare; State-funded Medical Assistance Programs; Student Financial Aid; Supplemental Security Income (SSI); TANF; Termination of Parental Rights; Unemployment Compensation; Unfair and Deceptive Trade Practices; Veterans benefits; Vocational Education; Wage Claims,false,,"Lawful Permanent Resident (LPR); United States Citizen; Victim of Trafficking  (18 and over); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence)",,Hillsborough County,,
5bc64471-7e0c-462a-84e4-4c48ac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Legal Information Center,LIC,The Legal Information Center is a free program to provide information to people who are representing themselves in Family Law cases in Hillsborough County.,referrals@bals.org,http://www.fljud13.org/LegalCommunity/ForCitizens/LegalInformationCenter/ContactUs.aspx,"The Legal Information Center's attorney assists people on a walk-in basis -- first come, first served. No appointments are scheduled.  The walk-in hours change each day.  Call 813-864-2280 (option #1) to listen to a recording that gives information and current walk-in hours.  Please call this recording the day you plan to come to verify the walk-in hours.     The Legal Information Center attorney cannot complete forms for you, represent you in court, or give you legal advice.  The attorney can give you information about available forms and the legal process so you can make informed decisions about your case.  The information that you give to and receive from Legal Information Center personnel is not confidential. If another person involved in your case seeks assistance from this Center, that person will be given the same type of assistance that you receive.",0,200,CTI,,Adoption; Custody; Divorce/Separation/Annulment,false,,,,Hillsborough County,,
5b967f06-1ed8-45a4-8b72-1bfdac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Low Income Taxpayer Clinic,LITC,Free advice and representation with IRS tax problems and controversies for residents of Hillsborough and Pasco counties.,referrals@bals.org,https://www.bals.org/special-programs/low-income-taxpayer-clinic,,0,200,Plant City,250,Earned Income Tax Credit; Income Taxes,false,,Lawful Permanent Resident (LPR); United States Citizen,,Hillsborough County; Pasco County,,
5bc89c16-1630-49e3-bfe8-6150ac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Social Services Navigator Program,SSN Program,"The Social Services Navigator Program is managed by BALS’ Senior Advocacy Unit(SAU). The SAU team has a student social services intern assist Bay Area Legal Services’ clients with their underlying social issues.  Interns connect clients to available community resources, develop plans to improve clients’ well-being, and advocate with them under the direction of an attorney.",referrals@bals.org,,"Available to Bay Area Legal Services clients of any age who reside in Hillsborough, Pasco, and Pinellas counties",0,200,,,Agricultural Worker Protection Act (AWPA); Immigration; Native Americans; Torts,false,,Lawful Permanent Resident (LPR); United States Citizen,,Hillsborough County; Pasco County; Pinellas County,,
5bc648cc-e854-4e22-b4df-481bac1e02dd,"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Veterans Legal Helpline,VLH,"Free civil legal advice, brief services and referrals for veterans and their family members, under age 60, in Hillsborough and Pasco counties.",referrals@bals.org,https://www.bals.org/special-programs/veterans-services,Funded by the Florida Veterans Foundation and NEFE. Income Limit for Hillsborough County is 200% and Income Limit for Pasco County is 125%,0,59,ABLE,125,Abuse & Neglect; Adjudication/Delinquent; Adoption; Bankruptcy; Bilingual; Board and Care/Assisted living facilities; Children's Health Insurance Programs; Child Support; Civil Rights; Collection/Repossession; Contracts/Warranties; Custody; Disability Rights; Discipline; Discrimination; Divorce/Separation/Annulment; Earned Income Tax Credit; Emancipation; Employment; Employment Discrimination; Estate Planning; Expungement; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Guardianship & Conservatorship; Health Insurance; Home and Community Based Care; Homeownership; Human Trafficking; Income Taxes; Jurisdiction; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mental Health Rights; Minor; Mobile Home Issues; Mortgages; Municipal Ordinances; Name Change; Nonprofit Law; Other; Other Civil Rights; Other Consumer; Other Education; Other Employment; Other Family; Other Health; Other Housing; Other Income Maintenance; Other Juveniles; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; Special Education/Learning Disabilities; State and Local Welfare; State-funded Medical Assistance Programs; Student Financial Aid; Supplemental Security Income (SSI); TANF; Termination of Parental Rights; Unemployment Compensation; Unfair and Deceptive Trade Practices; Veterans benefits; Vocational Education; Wage Claims,true,Retired Military Service; Active Military Service; Discharged Dishonorably; Discharged Honorable,Lawful Permanent Resident (LPR); United States Citizen,,Hillsborough County; Pasco County,,
5baa81d5-40b8-4051-9478-5fc9d0502006,Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,General Civil Legal Assistance,,"Free advice, brief services, and/or representation for all civil legal issues within our program's priorities.",brevardlegalaid@yahoo.com,http://brevardcountylegalaid.org/index.php,,,,,125,Abuse & Neglect; Bankruptcy; Child Support; Collection/Repossession; Contracts/Warranties; Custody; Divorce/Separation/Annulment; Domestic Violence; Estate Planning; Foreclosure; Guardianship & Conservatorship; Homeownership; Loans/Installment Purchases/Rentals; Mobile Home Issues; Mortgages; Other Consumer; Other Family; Other Landlord/Tenant; Paternity; Powers of attorney/advance directives/living wills; Unfair and Deceptive Trade Practices,,,,,Brevard County,,
