Location_id,Field 2,Phone number,Toll-free phone number,TTY phone number,Use the same address as the organization,Location,Is this location open at least weekly,Hours of operation day,Hours of operation open,Hours of operation close,Income eligibility and fees,Max percentage of income standard,Sliding scale fees description,Flat fee description,Location takes legal volunteers?,A licensed attorney is available to support legal volunteers.,Malpractice insurance is provided for legal volunteers.,Attachments,Research and/or clerking services are provided to volunteers.,Same phone number as organization?,"The office, equipment,  and supplies are available to volunteers to conduct pro bono work.",Location serves all of Illinois,Service area limited to specific,Cities,Counties,Zip codes,Organization ID
135831,Arlington Heights Memorial Library,847-392-0100,,,No,,Yes,Monday,9:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Cook,,131321
132736,North Lawndale Legal Clinic,(312) 341-1070,,,No,,No,Tuesday,10:00,17:00,Free to eligible persons/entities,150%,,,Yes,,,,,Yes,,No,Counties,,Cook,,127446
131331,IL-AFLAN Hotline,(855) 452-3526,,,Yes,,Yes,Thursday,12:00,17:00,Free to eligible persons/entities,80%,,,No,,,,,No,,Yes,,,,,131321
129431,Public Benefits Outreach and Enrollment Project - Englewood,(312) 745-1133,,,No,,Yes,Monday,10:00,17:00,Free to eligible persons/entities,125%,,,Yes,,,,,No,,No,Cities,Chicago,,,127446
129426,Public Benefits Outreach and Enrollment Project - Englewood,(312) 745-1133,,,No,,Yes,Monday,10:00,17:00,Free to eligible persons/entities,125%,,,Yes,,,,,No,,No,Cities,Chicago,,,25686
129066,Evanston Public Library,(847) 448-8600,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Cook,,25686
127456,Main office,(347) 850-2656,,,Yes,,Yes,Monday,10:00,17:00,Free to eligible persons/entities,100%,,,No,,,,,Yes,,Yes,,,,,25741
127211,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Morgan,,25741
127201,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Morgan,,25741
127181,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Menard,,25741
127171,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Menard,,25741
127161,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Cass,,25796
127151,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Sangamon,,25796
127056,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Cass,,25796
127046,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Sangamon,,25796
125091,Bridgeview Courthouse Civil Law Advice Desk,312-726-2938,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,Yes,,No,Counties,,Cook,,127446
124271,Virginia Memorial Public Library,(217) 452-3846,,,Yes,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,Yes,,No,Counties,,Cass,,127446
122696,Adams County Courthouse,(217) 277-2100,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Adams,,25686
120291,Office of the City Attorney,(618) 457-3215,,,No,,Yes,Monday,10:00,17:00,Free to everyone,,,,No,,,,,No,,No,Counties,,Jackson,,25686
