id,organization_id,name,alternate_name,description,transportation,latitude,longitude
135831,131321,Arlington Heights Memorial Library,,,,,
132736,127446,North Lawndale Legal Clinic,,,,,
131331,131321,IL-AFLAN Hotline,,,,,
129431,127446,Public Benefits Outreach and Enrollment Project - Englewood,,,,,
129426,25686,Public Benefits Outreach and Enrollment Project - Englewood,,,,,
129066,25686,Evanston Public Library,,,,,
127456,25741,Main office,,,,,
127211,25741,Prairie Skies Public Library District - Pleasant Plains location,,,,,
127201,25741,Prairie Skies Public Library District - Ashland location,,,,,
127181,25741,Prairie Skies Public Library District - Pleasant Plains location,,,,,
127171,25741,Prairie Skies Public Library District - Ashland location,,,,,
127161,25796,Prairie Skies Public Library District - Pleasant Plains location,,,,,
127151,25796,Prairie Skies Public Library District - Ashland location,,,,,
127056,25796,Prairie Skies Public Library District - Ashland location,,,,,
127046,25796,Prairie Skies Public Library District - Pleasant Plains location,,,,,
125091,127446,Bridgeview Courthouse Civil Law Advice Desk,,,,,
124271,127446,Virginia Memorial Public Library,,,,,
122696,25686,Adams County Courthouse,,,,,
120291,25686,Office of the City Attorney,,,,,
