id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
135836,131321,,Free legal information and forms in Cook County,,Legal self-help center,http://www.ahml.info/,,,,"",,Free to everyone,,
132741,131321,,North Lawndale legal clinic,,Direct representation,,,,,"Telephone

    Walk-inAll clinics are walk-in only, we do not make appointments.

Call 312-341-1070, select your preferred language, and choose option 4 for more information about LAF's legal clinics.Walk-in clients are seen on a first-come, first-served basis. Doors open at 4PM. If you arrive before the clinic closes, you will be seen.",,Free to eligible persons/entities,,
129441,127446,,Public benefits outreach and enrollment project - Englewood,,Direct representation,,,,,"Walk-inFirst come, first served. It is best to come at 9 a.m. to receive assistance.",,Free to eligible persons/entities,,
129071,131321,,Free information and forms in Cook County,,Legal self-help center,https://www.epl.org/,,,,"",,Free to everyone,,
127461,127446,,Free bankruptcy filing,,Direct representation,,,,,"Telephone

    OnlineYou will be able to speak to us if you call during business hours. If you call after business hours, please leave a message and we will get back to you in 24 hours.Click the link below to get started.",,Free to eligible persons/entities,,
127216,25686,,Free legal information and forms in Morgan County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127206,25686,,Free legal information and forms in Morgan County,,Legal self-help center,http://www.pspld.com,,,,"",,Free to everyone,,
127186,25741,,Free legal information and forms in Menard County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127176,25741,,Free legal information and forms in Menard County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127166,25741,,Free legal information and forms in Cass County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127156,25741,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127061,25741,,Free legal information and forms in Cass County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
127051,25796,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.pspld.com/,,,,"",,Free to everyone,,
124276,25796,,Free legal information and forms in Cass County,,Legal self-help center,http://virginiamemorialpubliclibrary.com/,,,,"",,Free to everyone,,
122701,25796,,Free legal information and forms in Adams County,,Legal self-help center,http://www.co.adams.il.us/Circuit_Clerk/index.htm,,,,"",,Free to everyone,,
120306,25796,,Free legal information and court forms in Jackson County,,Legal self-help center,http://explorecarbondale.com/node/61,,,,"",,Free to everyone,,
120061,127446,,Free legal information and forms in Cook County,,Legal self-help center,https://mppl.org/,,,,"",,Free to everyone,,
116931,127446,,Free legal information and forms in Clinton County,,Legal self-help center,http://clintoncountycircuitclerk.com/,,,,"",,Free to everyone,,
115961,25686,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.lincolnlibrary.info/,,,,"",,Free to everyone,,
