Location_id,Field 2,Phone number,Toll-free phone number,TTY phone number,Use the same address as the organization,Location,Is this location open at least weekly,Hours of operation,Recurring dates,Holiday schedule (location closed),Income eligibility and fees,Income standard for eligibility,Max percentage of income standard,Sliding scale fees description,Flat fee description,Location takes legal volunteers?,A licensed attorney is available to support legal volunteers.,Malpractice insurance is provided for legal volunteers.,Attachments,Research and/or clerking services are provided to volunteers.,Same phone number as organization?,"The office, equipment,  and supplies are available to volunteers to conduct pro bono work.",Location serves all of Illinois,Service area limited to specific,Cities,Counties,Zip codes,Organization ID,Services
135831,Arlington Heights Memorial Library,847-392-0100,,,No,,Yes,Sunday: 11:00-20:00  Monday: 9:00-22:00  Tuesday: 9:00-22:00  Wednesday: 9:00-22:00  Thursday: 9:00-22:00  Friday: 9:00-22:00  Saturday: 9:00-20:00,,"New Year's Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cook,,91676,135836
132736,North Lawndale Legal Clinic,(312) 341-1070,,,No,,No,,"Repeats every month on the third Tuesday 100 times. Tuesday, January 15, 2019 - 5:00pm to 7:00pm","New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,150%,,,Yes,,,,,Yes,,No,Counties,,Cook,,25231,132741
131331,IL-AFLAN Hotline,(855) 452-3526,,,Yes,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day",Free to eligible persons/entities,Area median income,80%,,,No,,,,,No,,Yes,,,,,131321,108216
129431,Public Benefits Outreach and Enrollment Project - Englewood,(312) 745-1133,,,No,,Yes,Sunday: Closed Monday: Closed Tuesday: Closed Wednesday: Closed Thursday: 9:00-17:00  Friday: Closed Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,125%,,,Yes,,,,,No,,No,Cities,Chicago,,,25231,129441
129426,Public Benefits Outreach and Enrollment Project - Englewood,(312) 745-1133,,,No,,Yes,Sunday: Closed Monday: Closed Tuesday: Closed Wednesday: Closed Thursday: 9:00-17:00  Friday: Closed Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,125%,,,Yes,,,,,No,,No,Cities,Chicago,,,25231,
129066,Evanston Public Library,(847) 448-8600,,,No,,Yes,Sunday: 12:00-18:00  Monday: 9:00-21:00  Tuesday: 9:00-21:00  Wednesday: 9:00-21:00  Thursday: 9:00-21:00  Friday: 9:00-18:00  Saturday: 9:00-18:00,,"New Year's Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cook,,91676,129071
127456,Main office,(347) 850-2656,,,Yes,,Yes,Sunday: Closed Monday: 8:00-16:00  Tuesday: 8:00-16:00  Wednesday: 8:00-16:00  Thursday: 8:00-16:00  Friday: 8:00-16:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Area median income,100%,,,No,,,,,Yes,,Yes,,,,,127446,127461
127211,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-19:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Morgan,,25476,127216
127201,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Morgan,,25476,127206
127181,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-19:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Menard,,25441,127186
127171,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Menard,,25441,127176
127161,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-19:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cass,,124266,127166
127151,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Sangamon,,115951,127156
127056,Prairie Skies Public Library District - Ashland location,(217) 476-3417,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cass,,124266,127061
127046,Prairie Skies Public Library District - Pleasant Plains location,(217) 626-1553,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-19:00  Wednesday: 9:00-17:00  Thursday: 9:00-19:00  Friday: 9:00-17:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Sangamon,,115951,127051
125091,Bridgeview Courthouse Civil Law Advice Desk,312-726-2938,,,No,,Yes,Sunday: Closed Monday: Closed Tuesday: 9:00-12:00  Wednesday: Closed Thursday: Closed Friday: Closed Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cook,,24646,
124271,Virginia Memorial Public Library,(217) 452-3846,,,Yes,,Yes,Sunday: Closed Monday: Closed Tuesday: 12:00-17:00  Wednesday: 13:00-18:00  Thursday: Closed Friday: 9:00-16:00  Saturday: 9:00-12:00,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cass,,124266,124276
122696,Adams County Courthouse,(217) 277-2100,,,No,,Yes,Sunday: Closed Monday: 8:30-16:30  Tuesday: 8:30-16:30  Wednesday: 8:30-16:30  Thursday: 8:30-16:30  Friday: 8:30-16:30  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Adams,,24456,122701
120291,Office of the City Attorney,(618) 457-3215,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Jackson,,25121,120306
120051,Mount Prospect Public Library,847-253-5675,,,No,,Yes,Sunday: 12:00-17:00  Monday: 9:00-22:00  Tuesday: 9:00-22:00  Wednesday: 9:00-22:00  Thursday: 9:00-22:00  Friday: 9:00-22:00  Saturday: 9:00-17:00,,"New Year's Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cook,,91676,120061
116926,Clinton County Courthouse,618.594.6615,,,No,,Yes,Sunday: Closed Monday: 8:00-16:30  Tuesday: 8:00-16:30  Wednesday: 8:00-16:30  Thursday: 8:00-16:30  Friday: 8:00-16:30  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Clinton,,24716,116931
116846,Loop Campus,(312) 362-8701,,,Yes,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cook,,116841,
115956,Lincoln Library,(217) 753-4900,,,Yes,,Yes,Sunday: 13:00-17:00  Monday: 10:00-20:00  Tuesday: 10:00-20:00  Wednesday: 10:00-20:00  Thursday: 10:00-18:00  Friday: 10:00-18:00  Saturday: 10:00-17:00,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Sangamon,,115951,115961
113191,Jackson County Courthouse,(618) 687-7300,,,No,,Yes,Sunday: Closed Monday: 8:00-16:00  Tuesday: 8:00-17:30  Wednesday: 8:00-16:00  Thursday: 8:00-16:00  Friday: 8:00-16:00  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Jackson,,25121,113196
111926,Extended Services Office,312-971-5932,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Presidents' Day

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,No,,No,Counties,,Cook,,24811,
111816,Peoria office,312-832-5127,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,Yes,,,,,25621,
