Organization ID,Title,Alternate name,Body,Organization provides services to the public?,Display physical address to public users?,Mailing address is the same as the physical address,Physical address,Mailing address,Phone number,Website address,Email,Associated email domain(s),Imported table,Services
131321,Illinois Armed Forces Legal Aid Network,IL-AFLAN,"The Illinois Armed Forces Legal Aid Network (IL-AFLAN) provides civil legal services across Illinois. IL-AFLAN is a network comprised of 13 legal aid organizations and law school clinics, including CARPLS, Center for Conflict Resolution, Center for Disability & Elder Law, Chicago Volunteer Legal Services (CVLS), John Marshall Law, Justice Entrepreneurs Project, LAF, Land of Lincoln, Lawyers' Committee for Better Housing, Loyola Law, Prairie State, Public Interest Law Initiative (PILI), and SIU Law. A statewide hotline acts as the hub of the network. This hotline provides legal information, advice, brief services (including the preparation and review of legal documents), and referrals to veterans, service members, national guard, reservists, and their spouses and dependents.The Illinois Equal Justice Foundation is responsible for developing, monitoring, and reporting on the IL-AFLAN project, with leadership from the Illinois Access to Civil Justice Council.",Yes,No,,,"Illinois Equal Justice Foundation180 North Stetson, Suite 820Chicago, IL 60601",(312) 938-2106,https://ilaflan.org/,ZZarnow@iejf.org,,131331,108216
127446,Upsolve,Upsolve,Upsolve is a 501(c)(3) legal aid nonprofit that started in 2016. Our mission is to help low-income Americans in financial distress get a fresh start through Chapter 7 bankruptcy at no cost.,Yes,No,,,"150 Court Street2nd FloorBrooklyn, NY 11201",(347) 850-2656,https://upsolve.org/,help@upsolve.org,jonathan@upsolve.org,127456,127461
25686,Sargent Shriver National Center on Poverty Law,Shriver Center,"The Sargent Shriver National Center on Poverty Law provides national leadership in advancing laws and policies that secure justice to improve the lives and opportunities of people living in poverty. The Shriver Center brings together lawyers, community leaders, and allies from across the country as the nation’s leading advocate for people living in poverty. We work toward a future where people living in poverty have income security, equal opportunity, and a voice in what happens in their communities.",No,No,,,"67 East Madison StreetSuite 2000Chicago, IL 60603",(312) 263-3830,http://www.povertylaw.org,info@povertylaw.org,povertylaw.org,27561,29701
25741,South Suburban Bar Association,SSBA,"The South Suburban Bar Association Lawyer Referral Service provides referrals to lawyers in the south suburbs of Cook County, Illinois. Lawyers handle cases at the Bridgeview and Markham courthouses, and at the Daley Center in downtown Chicago.",Yes,No,,,"P.O. Box 726Homewood, IL 60430",(708) 633-9700,http://www.southsuburbanbar.org/,kellysenn@outlook.com,,27616,68066
25796,Community Law Project,CLP,"The Community Law Project (CLP) of the Chicago Lawyers' Committee for Civil Rights recruits volunteer attorneys to meet the transactional legal needs of nonprofit community organizations and low income entrepreneurs.Nonprofit community-based organizations serving low-income neighborhoods or populations in the greater Chicago metropolitan area may be eligible for CLP's legal services. CLP coordinates free legal services if the organization has insufficient funds to hire counsel, is accountable to the community, and the proposed project will provide social services and/or revitalize the neighborhood and increase community control.CLP also coordinates free legal services for eligible entrepreneurs through the Small Business Program if they have a business plan, are able to articulate the need for the business and its impact on the surrounding community, and meet income eligibility requirements.",Yes,No,,,"100 North LaSalle StreetSuite 600Chicago, IL 60602",(312) 939-3638,http://WWW.CLCCRUL.ORG/COMMUNITY-LAW-PROJECT,jadler@clccrul.org,thelawproject.org,"27671,26276","50351,50346,50316,50156"
25911,Will County Bar Association,WCBA,"The Will County Bar Association Lawyer Referral Program can provide a referral to a participating local attorneys. If you make an appointment with the attorney, the attorney will charge you $15.00 for 1/2 hour of legal advice.",Yes,No,,,"167 N. Ottawa Street, 2nd FloorJoliet, IL 60432",(815) 726-0383,http://www.willcountybar.org/index.php?option=com_referrals,info@willcountybar.org,,27786,68056
25506,North Suburban Bar Association,NSBA,Call our office for referrals to lawyers in the North Suburban Chicago area.,Yes,No,,,"PO Box 731Glenview, IL 60091",847-564-4800,http://www.ilnsba.org/index.html,info@ilnsba.org,,27381,68076
25516,Northwest Suburban Bar Association,NSBA,"Call the Attorney Referral Service to get the name and telephone number of a participating attorney in the Northwest Suburbs of Chicago who practices in the area of your need. Callers are responsible for making the appointment with the attorney and will receive a one half-hour consultation for a charge of $25.00, which is due at the time of the consultation. Or go to the Public Access Directory on our website for a listing of attorneys and the areas in which they concentrate.",Yes,No,,,"800 East Northwest HighwaySuite 418Palitine, IL 60074",(847) 221-2601,http://www.nwsba.org,jbarth@nwsba.org,,27391,68086
25561,Peoria County Bar Association,PCBA,"PCBA Lawyer Referral Service provides referrals to panel attorneys who practice in specific areas of law. Arrangements for consultation and payment of attorney's fees, if any, are the responsibility of the panel attorney. Each attorney determines their own practices regarding the nature of consultation and amount of fee, if any. To obtain a referral, complete and submit the form on our website.",Yes,No,,,"411 Hamilton Blvd.Suite 1618Peoria, IL 61602",(309) 674-1224,http://www.peoriabar.org/,PCBA@mtco.com,,27436,68071
25611,Pro Bono Network,PBN,"Pro Bono Network (PBN) partners with existing legal aid agencies to expand or adapt pro bono programs that will fit within the time constraints of stay-at-home parents.To that end, any project the Network adopts must satisfy several essential criteria:The agency must provide early morning training in the suburbs;hours must be flexible and no required appearances after 2:00pm;the time-frames must be discreet or allow the attorney to work for a short-time frame;attorneys must be allowed to work in pairs to ensure back up when the inevitable sick-child situation arises; andthe agency must provide malpractice insurance.​We work closely with the legal aid agency to keep the project running smoothly for our volunteers. We assist with supervising, mentoring, administrative matters, troubleshooting, and ongoing training.",No,No,,,"7115 W. North Ave #253Oak Park, IL 60302",312-508-3355,http://www.pro-bono-network.org/,donna.peel@pro-bono-network.org,pro-bono-network.org,27486,84526
25651,Resolution Systems Institute,RSI,"Resolution Systems Institute (RSI) was founded in 1995 as the Center for Analysis of Alternative Dispute Resolution Systems, and adopted its new name in 2008. RSI's mission is to strengthen justice by enhancing court alternative dispute resolution (ADR) systems.RSI developed and maintains the Court ADR Resource Center at www.CourtADR.org . RSI also works with courts to develop, monitor, and evaluate ADR programs.RSI is a non-profit organization affiliated with Chicago's Center for Conflict Resolution.",No,No,,,"11 East Adams StreetSuite 500Chicago, IL 60603",(312) 922-6463,http://courtadr.org/,info@aboutrsi.org,aboutrsi.org,27526,
25181,Justice Entrepreneurs Project,JEP,"The Justice Entrepreneurs Project (JEP) is a network of independent lawyers who are committed to making quality legal services accessible and affordable for regular people. Lawyers in the JEP offer fixed fees and flexible representation options (like unbundled, a la carte services) to help accomplish this. Their practices seek to be client-centered and emphasize approachability and collaboration between the lawyer and client.",Yes,No,,,"208 S. Jefferson StreetSuite 204Chicago, IL 60661",312-546-3282,http://jepchicago.org/,info@jepchicago.org,jepchicago.org,27056,93286
25186,Northern Illinois Justice for Our Neighbors,NIJFON,"Northern Illinois Justice for Our Neighbors is a faith-driven ministry, welcoming immigrants into our churches and communities by providing free, high-quality immigration legal services, education, and advocacy. NIJFON is a non-profit organization recognized by the Department of Justice as an immigration legal services provider with roots in the United Methodist Church and welcoming to people of all backgrounds and faiths.",Yes,No,,,"77 W Washington StSuite 1820Chicago, IL 60602",312-346-9766 x 715,http://www.nijfon.org,jenny.ansay@nijfon.org,jfonnic.org,27061,
25196,Kane County Bar Association,KCBA,"The Kane County Bar Association's online ""Find A Lawyer"" Search Tool is a free service designed to help people find a Kane County Lawyer or Law Firm whose specialty fits their legal needs. This service is provided free of charge and individuals can search as many times as they wish.",Yes,No,,,"P.O. Box 571Geneva, IL 60134",(630) 762-1900,https://kanecountybar.org/,director@kanecountybar.org,kanecountybar.org,27071,68081
