id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses
135836,91676,,Free legal information and forms in Cook County,,Legal self-help center,http://www.ahml.info/,,,,,,Free to everyone,,
132741,25231,,North Lawndale legal clinic,,Direct representation,,,,,"Telephone

    Walk-in",,Free to eligible persons/entities,,
129441,25231,,Public benefits outreach and enrollment project - Englewood,,Direct representation,,,,,Walk-in,,Free to eligible persons/entities,,
129071,91676,,Free information and forms in Cook County,,Legal self-help center,https://www.epl.org/,,,,,,Free to everyone,,
127461,127446,,Free bankruptcy filing,,Direct representation,,,,,"Telephone

    Online",,Free to eligible persons/entities,,
127216,25476,,Free legal information and forms in Morgan County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127206,25476,,Free legal information and forms in Morgan County,,Legal self-help center,http://www.pspld.com,,,,,,Free to everyone,,
127186,25441,,Free legal information and forms in Menard County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127176,25441,,Free legal information and forms in Menard County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127166,124266,,Free legal information and forms in Cass County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127156,115951,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127061,124266,,Free legal information and forms in Cass County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
127051,115951,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.pspld.com/,,,,,,Free to everyone,,
124276,124266,,Free legal information and forms in Cass County,,Legal self-help center,http://virginiamemorialpubliclibrary.com/,,,,,,Free to everyone,,
122701,24456,,Free legal information and forms in Adams County,,Legal self-help center,http://www.co.adams.il.us/Circuit_Clerk/index.htm,,,,,,Free to everyone,,
120306,25121,,Free legal information and court forms in Jackson County,,Legal self-help center,http://explorecarbondale.com/node/61,,,,,,Free to everyone,,
120061,91676,,Free legal information and forms in Cook County,,Legal self-help center,https://mppl.org/,,,,,,Free to everyone,,
116931,24716,,Free legal information and forms in Clinton County,,Legal self-help center,http://clintoncountycircuitclerk.com/,,,,,,Free to everyone,,
115961,115951,,Free legal information and forms in Sangamon County,,Legal self-help center,http://www.lincolnlibrary.info/,,,,,,Free to everyone,,
113196,25121,,Free legal information and forms in Jackson County,,Legal self-help center,http://circuitclerk.co.jackson.il.us/,,,,,,Free to everyone,,
111176,24726,,Free legal advice for immigrants,,Direct representation,,,,,Telephone,,Free to everyone,,
110956,25581,,Free legal information and forms in Piatt County,,Legal self-help center,https://www.facebook.com/Willow-Branch-Township-Library-190605167751359/,,,,,,Free to everyone,,
110896,51926,,Free legal information and forms in DuPage County,,Legal self-help center,http://www.wcpld.info/,,,,,,Free to everyone,,
108216,131321,,IL-AFLAN,,Direct representation,,,,,Telephone,,Free to eligible persons/entities,,
107761,25251,,Legal Help for Domestic Abuse in SW Illinois,,Direct representation,,,,,Online through IllinoisLegalAid.org,,Free to everyone,,
107756,25251,,Legal Help for Domestic Abuse in Southern Illinois,,Direct representation,,,,,Online through IllinoisLegalAid.org,,Free to everyone,,
107751,25251,,Legal Help for Domestic Abuse in Central Illinois,,Direct representation,,,,,Online through IllinoisLegalAid.org,,Free to everyone,,
107746,25251,,Legal Help for Domestic Abuse in Eastern Illinois,,Direct representation,,,,,Online through IllinoisLegalAid.org,,Free to everyone,,
107741,25251,,"Legal Help for Domestic Abuse in Clinton, Fayette, Monroe, Randolph, St. Clair and Washington Counties",,Direct representation,,,,,Online through IllinoisLegalAid.org,,Free to everyone,,
107096,107041,,"Quality, low cost immigration legal services",,Direct representation,,,,,"Telephone

    Walk-in

    Email",,Flat fee regardless of income,,
106706,25566,,Free legal information and forms in Peoria County,,Legal self-help center,http://www.metecresourcecenter.com/,,,,,,Free to everyone,,
105921,25231,,McCutcheon legal clinic,,Direct representation,,,,,"Telephone

    Walk-in",,Free to eligible persons/entities,,
101806,24876,,Employment rights helpline for people with disabilities,,Direct representation,,,,,"Telephone

    Online

    Email",,Free to everyone,,
101146,25491,,Immigration help for Cook County residents outside of Chicago,,Direct representation,,,,,"Telephone

    Email

    Online through IllinoisLegalAid.org",,Flat fee regardless of income,,
100171,25491,,Free immigration help for Chicago residents,,Direct representation,,,,,"Telephone

    Email

    Online through IllinoisLegalAid.org",,Flat fee regardless of income,,
99161,25311,,Help for victims of crime in Cook County (VLAN),,Direct representation,,,,,"Telephone

    Online through IllinoisLegalAid.org",,Free to eligible persons/entities,,
97546,24441,,Civil Rights Team,,Direct representation,,,,,"Telephone

    Walk-in

    Email",,Free to everyone,,
95456,25031,,Illinois JusticeCorps,,Legal information and education (not a legal self-help center),,,,,,,Free to everyone,,
94711,25851,,Social Security Benefits Legal Aid,,Direct representation,,,,,"Telephone

    Walk-in",,Free to everyone,,
94706,25851,,Tenant-Landlord Legal Aid,,Direct representation,,,,,Walk-in,,Free to everyone,,
93946,24916,,free legal help for people under arrest,,Direct representation,,,,,Telephone,,Free to everyone,,
93286,25181,,Low-cost legal services,,Direct representation,,,,,"Online

    Online through IllinoisLegalAid.org",,Flat fee regardless of income,,
92921,25291,,Free legal assistance to arts organizations,,Direct representation,,,,,Online,,Sliding scale based on income,,
91721,91676,,Free legal information and forms in Cook County,,Legal self-help center,http://www.rollingmeadowscourt.us/,,,,,,Free to everyone,,
91706,91676,,Free legal information and forms in Cook County,,Legal self-help center,http://www.cookcountycourt.org/ABOUTTHECOURT/MunicipalDepartment/SixthMunicipalDistrictMarkham.aspx,,,,,,Free to everyone,,
91696,91676,,Free legal information and forms in Cook County,,Legal self-help center,http://www.thedaleycenter.com/,,,,,,Free to everyone,,
91691,91676,,Free legal information and forms in Cook County,,Legal self-help center,https://www.kentlaw.iit.edu/institutes-centers/center-for-access-to-justice-and-technology/self-help-web-center,,,,,,Free to everyone,,
91326,90256,,Free legal help in East St. Louis to low-income persons,,Direct representation,,,,,Telephone,,Free to eligible persons/entities,,
91161,24641,,Free legal help to victims of hate crimes,,Direct representation,,,,,"Telephone

    Email",,Free to everyone,,
91051,25241,,Free legal information and forms in Lake County,,Legal self-help center,http://deerfieldlibrary.org/,,,,,,Free to everyone,,
90536,25791,,Peoria Peoria Friendship House,,Direct representation,,,,,Telephone,,Sliding scale based on income,,
90346,25791,,Free and low-cost immigration help for people in the Champaign area,,Direct representation,,,,,Telephone,,Sliding scale based on income,,
89636,25791,,Free and low-cost immigration help,,Direct representation,,,,,Telephone,,Sliding scale based on income,,
89016,88956,,Free domestic violence legal services,,Direct representation,,,,,"Telephone

    Email",,Free to everyone,,
89006,88956,,"Free legal services in Highland Park, Highwood, and West Deerfield Township",,Direct representation,,,,,"Telephone

    Email",,Free to eligible persons/entities,,
88501,25076,,Free pension legal assistance,,Direct representation,,,,,"Telephone

    Online",,Free to everyone,,
86981,24881,,Immigration legal services,,Direct representation,,,,,Walk-in,,Flat fee regardless of income,,
86921,25066,,LiveHelp program,,Legal information and education (not a legal self-help center),,,,,,,Free to everyone,,
86836,25246,,Legal information and help for the LGBT and People Living with HIV communities,,Direct representation,,,,,"Telephone

    Online

    Email",,Free to everyone,,
84526,25611,,Pro bono support for volunteers and legal aid programs,,"Policy, impact litigation, support or other",,,,,,,Free to eligible persons/entities,,
84361,24576,,Advice desk - Tuesday night supper,,Direct representation,,,,,Walk-in,,Free to eligible persons/entities,,
84321,24576,,Legal assistance advice line,,Direct representation,,,,,Telephone,,Free to eligible persons/entities,,
83176,25286,,Helpline for renters living in foreclosed properties in Suburban Cook County,,Direct representation,,,,,Telephone,,Free to everyone,,
83171,25286,,Free legal help for Chicago renters,,Direct representation,,,,,"Telephone

    Online through IllinoisLegalAid.org",,Free to eligible persons/entities,,
77276,25126,,Skokie Expungement Desk,,Direct representation,,,,,Walk-in,,Free to everyone,,
77271,25126,,Free legal services for youth and families,,Direct representation,,,,,Telephone,,Free to eligible persons/entities,,
76936,25086,,Illinois Lawyer Finder,,Lawyer referral service,,,,,"Telephone

    Online",,Free to everyone,,
68751,25781,,Lawyer Referral Service,,Lawyer referral service,,,,,"Telephone

    Online",,Flat fee regardless of income,,
68426,24741,,Lawyer Referral Service,,Lawyer referral service,,,,,Telephone,,Free to everyone,,
68101,24836,,Lawyer Referral Service,,Lawyer referral service,,,,,"Telephone

    Online",,Free to everyone,,
68096,25236,,Lawyer Referral Service,,Lawyer referral service,,,,,"Telephone

    Online",,Free to everyone,,
68091,25321,,Lawyer Referral Service,,Lawyer referral service,,,,,,,Free to everyone,,
