id,service_id,eligibility
,135836,
,132741,Federal Poverty Level
,108216,Area median income
,129441,Federal Poverty Level
,,Federal Poverty Level
,129071,
,127461,Area median income
,127216,
,127206,
,127186,
,127176,
,127166,
,127156,
,127061,
,127051,
,,
,124276,
,122701,
,120306,
,120061,
,116931,
,,
,115961,
,113196,
,,
,,
,,Federal Poverty Level
,110956,
,110896,
,,Federal Poverty Level
,107096,Federal Poverty Level
,106706,
,105921,Federal Poverty Level
,"97546,Unnamed record",
,,
,95456,
,,Federal Poverty Level
,91721,
,91706,
,91691,
,91696,
,91051,
,,
,,
,,
,90536,
,91326,Federal Poverty Level
,89636,
,"89016,89006",Federal Poverty Level
,88501,
,86836,
,,
,90346,
,64196,
,64186,
,64176,
,63846,
,63516,
,54736,
,54726,
,54716,
,54696,
,54681,
,54341,
,53951,
,52971,
,51961,
,51936,
,51906,
,51871,
,51846,
,51821,
,,
,51751,
,51731,
,51716,
,51706,
,51671,
,51616,
,51536,
,51511,
,51501,
,51491,
,51466,
,51451,
,51456,
,51416,
,51401,
,51371,
,51341,
,51331,
,51291,
,51271,
,51251,
,51236,
,51196,
,51181,
,51156,
,,
,50616,
,49931,
,49916,
,49901,Federal Poverty Level
,49891,Federal Poverty Level
,49881,Federal Poverty Level
,49871,Federal Poverty Level
,49861,Federal Poverty Level
,49816,Federal Poverty Level
,49771,Federal Poverty Level
,49741,Federal Poverty Level
,49726,Federal Poverty Level
,49646,Federal Poverty Level
,49636,Federal Poverty Level
,49626,Federal Poverty Level
,49591,Federal Poverty Level
,49411,
,49416,
,49391,Federal Poverty Level
,49381,Federal Poverty Level
,49371,Federal Poverty Level
,49361,Federal Poverty Level
,49351,Federal Poverty Level
,49336,Federal Poverty Level
,49326,Federal Poverty Level
,38446,
,38396,
,37816,
,,
,37366,
,37356,
,37346,
,37281,
,37271,
,36856,
,36796,
,36776,
,36751,
,36721,
,36706,
,36691,
,60891,
,36636,
,36551,
,36536,
,36516,
,36506,
,36451,
,36436,
,36416,
,36181,
,36176,
,36161,
,36151,
,36141,
,29821,
,36116,
,,
,34991,
,34976,
,34961,
,34926,
,33921,
,33871,
,61871,
,31751,
,31741,
,30246,Federal Poverty Level
,30301,Federal Poverty Level
,30046,
,30031,
,30016,Federal Poverty Level
,30006,Federal Poverty Level
,29991,Federal Poverty Level
,29976,Federal Poverty Level
,29966,Federal Poverty Level
,29941,Federal Poverty Level
,29906,Federal Poverty Level
,,Federal Poverty Level
,"30116,30111,30106,29566,29561",Federal Poverty Level
,29126,Federal Poverty Level
,28871,Federal Poverty Level
,28721,Federal Poverty Level
,"86921,28501,28496",
,32166,
,49396,
,,
,,
,,
,,
,51596,
,29701,
,,
,51646,
,,
,,
,,
,,
,,
