id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
131321,Illinois Armed Forces Legal Aid Network,,"The Illinois Armed Forces Legal Aid Network (IL-AFLAN) provides civil legal services across Illinois. IL-AFLAN is a network comprised of 13 legal aid organizations and law school clinics, including CARPLS, Center for Conflict Resolution, Center for Disability & Elder Law, Chicago Volunteer Legal Services (CVLS), John Marshall Law, Justice Entrepreneurs Project, LAF, Land of Lincoln, Lawyers' Committee for Better Housing, Loyola Law, Prairie State, Public Interest Law Initiative (PILI), and SIU Law. A statewide hotline acts as the hub of the network. This hotline provides legal information, advice, brief services (including the preparation and review of legal documents), and referrals to veterans, service members, national guard, reservists, and their spouses and dependents.The Illinois Equal Justice Foundation is responsible for developing, monitoring, and reporting on the IL-AFLAN project, with leadership from the Illinois Access to Civil Justice Council.",ZZarnow@iejf.org,https://ilaflan.org/,,,,
127446,Upsolve,,Upsolve is a 501(c)(3) legal aid nonprofit that started in 2016. Our mission is to help low-income Americans in financial distress get a fresh start through Chapter 7 bankruptcy at no cost.,help@upsolve.org,https://upsolve.org/,,,,
25686,Sargent Shriver National Center on Poverty Law,,"The Sargent Shriver National Center on Poverty Law provides national leadership in advancing laws and policies that secure justice to improve the lives and opportunities of people living in poverty. The Shriver Center brings together lawyers, community leaders, and allies from across the country as the nation’s leading advocate for people living in poverty. We work toward a future where people living in poverty have income security, equal opportunity, and a voice in what happens in their communities.",info@povertylaw.org,http://www.povertylaw.org,,,,
25741,South Suburban Bar Association,,"The South Suburban Bar Association Lawyer Referral Service provides referrals to lawyers in the south suburbs of Cook County, Illinois. Lawyers handle cases at the Bridgeview and Markham courthouses, and at the Daley Center in downtown Chicago.",kellysenn@outlook.com,http://www.southsuburbanbar.org/,,,,
25796,Community Law Project,,"The Community Law Project (CLP) of the Chicago Lawyers' Committee for Civil Rights recruits volunteer attorneys to meet the transactional legal needs of nonprofit community organizations and low income entrepreneurs.Nonprofit community-based organizations serving low-income neighborhoods or populations in the greater Chicago metropolitan area may be eligible for CLP's legal services. CLP coordinates free legal services if the organization has insufficient funds to hire counsel, is accountable to the community, and the proposed project will provide social services and/or revitalize the neighborhood and increase community control.CLP also coordinates free legal services for eligible entrepreneurs through the Small Business Program if they have a business plan, are able to articulate the need for the business and its impact on the surrounding community, and meet income eligibility requirements.",jadler@clccrul.org,http://WWW.CLCCRUL.ORG/COMMUNITY-LAW-PROJECT,,,,
25911,Will County Bar Association,,"The Will County Bar Association Lawyer Referral Program can provide a referral to a participating local attorneys. If you make an appointment with the attorney, the attorney will charge you $15.00 for 1/2 hour of legal advice.",info@willcountybar.org,http://www.willcountybar.org/index.php?option=com_referrals,,,,
25506,North Suburban Bar Association,,Call our office for referrals to lawyers in the North Suburban Chicago area.,info@ilnsba.org,http://www.ilnsba.org/index.html,,,,
25516,Northwest Suburban Bar Association,,"Call the Attorney Referral Service to get the name and telephone number of a participating attorney in the Northwest Suburbs of Chicago who practices in the area of your need. Callers are responsible for making the appointment with the attorney and will receive a one half-hour consultation for a charge of $25.00, which is due at the time of the consultation. Or go to the Public Access Directory on our website for a listing of attorneys and the areas in which they concentrate.",jbarth@nwsba.org,http://www.nwsba.org,,,,
25561,Peoria County Bar Association,,"PCBA Lawyer Referral Service provides referrals to panel attorneys who practice in specific areas of law. Arrangements for consultation and payment of attorney's fees, if any, are the responsibility of the panel attorney. Each attorney determines their own practices regarding the nature of consultation and amount of fee, if any. To obtain a referral, complete and submit the form on our website.",PCBA@mtco.com,http://www.peoriabar.org/,,,,
25611,Pro Bono Network,,"Pro Bono Network (PBN) partners with existing legal aid agencies to expand or adapt pro bono programs that will fit within the time constraints of stay-at-home parents.To that end, any project the Network adopts must satisfy several essential criteria:The agency must provide early morning training in the suburbs;hours must be flexible and no required appearances after 2:00pm;the time-frames must be discreet or allow the attorney to work for a short-time frame;attorneys must be allowed to work in pairs to ensure back up when the inevitable sick-child situation arises; andthe agency must provide malpractice insurance.​We work closely with the legal aid agency to keep the project running smoothly for our volunteers. We assist with supervising, mentoring, administrative matters, troubleshooting, and ongoing training.",donna.peel@pro-bono-network.org,http://www.pro-bono-network.org/,,,,
25651,Resolution Systems Institute,,"Resolution Systems Institute (RSI) was founded in 1995 as the Center for Analysis of Alternative Dispute Resolution Systems, and adopted its new name in 2008. RSI's mission is to strengthen justice by enhancing court alternative dispute resolution (ADR) systems.RSI developed and maintains the Court ADR Resource Center at www.CourtADR.org . RSI also works with courts to develop, monitor, and evaluate ADR programs.RSI is a non-profit organization affiliated with Chicago's Center for Conflict Resolution.",info@aboutrsi.org,http://courtadr.org/,,,,
25181,Justice Entrepreneurs Project,,"The Justice Entrepreneurs Project (JEP) is a network of independent lawyers who are committed to making quality legal services accessible and affordable for regular people. Lawyers in the JEP offer fixed fees and flexible representation options (like unbundled, a la carte services) to help accomplish this. Their practices seek to be client-centered and emphasize approachability and collaboration between the lawyer and client.",info@jepchicago.org,http://jepchicago.org/,,,,
25186,Northern Illinois Justice for Our Neighbors,,"Northern Illinois Justice for Our Neighbors is a faith-driven ministry, welcoming immigrants into our churches and communities by providing free, high-quality immigration legal services, education, and advocacy. NIJFON is a non-profit organization recognized by the Department of Justice as an immigration legal services provider with roots in the United Methodist Church and welcoming to people of all backgrounds and faiths.",jenny.ansay@nijfon.org,http://www.nijfon.org,,,,
25196,Kane County Bar Association,,"The Kane County Bar Association's online ""Find A Lawyer"" Search Tool is a free service designed to help people find a Kane County Lawyer or Law Firm whose specialty fits their legal needs. This service is provided free of charge and individuals can search as many times as they wish.",director@kanecountybar.org,https://kanecountybar.org/,,,,
25231,LAF,,"LAF (formerly the Legal Assistance Foundation) provides free civil legal services to individuals and families in Chicago and suburban Cook County who are unable to afford an attorney. Households with limited assets and income at or below 150% of the federal poverty line may qualify for free legal help. We have higher income limits for homeowners at risk of foreclosure, seniors, veterans, people living with HIV-AIDS, and domestic violence survivors seeking protection from an abuser.",jgallo@lafchicago.org,http://www.lafchicago.org,,,,
